COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,53,1,0,2,7,0,20,0,0,0,0,19,4,195,1,0,2,34,0,17,0,0,0,0,94,47,81300,2000,0,0,36100,0,41400,0,0,0,0,1800,0
Amador,65,1,0,17,9,0,24,0,1,0,1,8,4,348,10,0,9,50,0,264,0,0,0,3,8,4,9901,0,0,500,7601,0,1700,0,0,0,0,100,0
Butte,124,8,3,21,11,2,36,1,2,0,2,32,6,79767,23347,2,25,27,54002,283,1,1,0,2,2065,12,24410210,24000002,0,10003,700,1,20502,0,0,0,0,350002,29000
Calaveras,118,11,1,32,13,5,25,0,0,0,1,27,3,413,91,0,90,100,16,12,0,0,0,0,96,8,269397,20325,0,4901,24950,0,1943,0,0,0,0,215728,1550
Colusa,8,0,0,0,1,0,3,0,0,0,0,4,0,76,0,0,0,5,0,11,0,0,0,0,60,0,100,0,0,0,100,0,0,0,0,0,0,0,0
Contra Costa,52,10,3,2,0,0,17,0,0,0,0,19,1,164,12,0,0,0,0,103,0,0,0,0,29,20,38501,3200,0,13000,0,0,12301,0,0,0,0,0,10000
Del Norte,56,10,1,7,1,1,20,0,0,0,0,15,1,34,7,0,7,0,0,5,0,0,0,0,15,0,55000,0,0,0,0,0,0,0,0,0,0,55000,0
El Dorado,215,24,0,44,33,0,70,2,2,0,5,30,5,788,12,0,38,159,0,506,1,5,0,2,60,5,1173350,250,0,851700,131300,0,32100,25000,120000,0,0,11000,2000
Fresno,96,8,0,19,16,0,34,1,0,0,2,11,5,"1,823",80,0,14,32,0,"1,552",100,0,0,2,17,26,237504,500,0,20002,30800,0,155502,30000,0,0,0,200,500
Glenn,5,0,0,0,2,0,3,0,0,0,0,0,0,57,0,0,0,12,0,45,0,0,0,0,0,0,10000,0,0,0,10000,0,0,0,0,0,0,0,0
Humboldt,142,5,2,9,6,47,37,0,0,1,1,32,2,1629,10,2,11,15,1180,202,0,0,0,1,205,3,75600,0,0,0,400,0,26100,0,0,1900,0,45200,2000
Inyo,17,0,0,1,1,0,8,0,0,0,0,7,0,783,0,0,3,0,0,695,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
