COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars,,
Alameda,39,0,0,0,8,4,0,4,0,0,0,16,7,170,0,0,0,70,20,0,1,0,0,0,39,40,32410,0,0,0,11300,1200,0,0,0,0,0,9910,10000,,
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Amador,57,2,0,17,6,7,1,7,0,0,3,5,9,383,3,0,8,2,41,3,18,0,0,0,260,48,307070,0,0,0,6000,700,0,200000,0,0,70,20000,80300,,
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Calaveras,94,1,3,22,9,14,0,12,2,0,1,21,9,1453,0,0,13,344,540,0,8,0,0,0,92,456,405009,0,0,1270,1400,286300,0,1077,0,0,20,24786,90156,,
Colusa,4,1,1,0,0,0,0,0,0,0,0,0,2,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Contra Costa,28,0,0,0,4,6,0,1,0,0,0,15,2,224,0,0,0,57,9,0,7,0,0,0,148,3,11450,0,0,0,250,1700,0,0,0,0,0,9500,0,,
Del Norte,28,7,2,1,0,1,1,0,1,0,0,14,1,105,1,0,0,0,1,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
El Dorado,169,27,4,34,15,20,0,11,0,0,1,41,16,371,25,0,19,206,94,0,2,0,0,1,21,3,231015,850,0,2550,50170,80000,0,32250,0,0,0,60200,4995,,
Fresno,106,27,1,14,18,5,4,10,0,0,1,20,6,13658,9507,1,6,152,3,150,24,0,0,123,3422,180,812917,758025,0,2020,3656,0,0,1,0,0,25000,17200,7015,,
Glenn,6,1,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Humboldt,105,12,6,11,10,4,0,20,2,0,0,31,9,768,601,3,6,7,22,0,13,0,0,0,100,16,1595068,347901,0,0,270617,705000,0,61000,0,0,0,210550,0,,
Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Inyo,15,0,2,1,0,1,0,1,1,0,0,9,0,110,0,0,0,0,1,0,0,0,0,0,109,0,350,0,0,0,0,0,0,0,0,0,0,350,0,,
Kings,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Lake,74,16,1,5,13,6,0,6,0,0,2,20,5,4041,3979,0,2,18,29,0,2,0,0,0,3,8,105579028,105260000,0,0,3300,150000,0,142728,0,0,0,23000,0,,
