COUNTY,Total Count,Arson Count,Campfire Count,Debris Burning Count,Electrical Power Count,Equipment Usage Count,Lightning Count,Misc. Count,Play With Fire Count,Railroad Count,Smoking Count,Undetermined Count,Vehicle Count,Total Acres,Arson Acres,Campfire Acres,Debris Burning Acres,Electrical Power Acres,Equipment Usage Acres,Lightning Acres,Misc. Acres,Play With Fire Acres,Railroad Acres,Smoking Acres,Undetermined Acres,Vehicle Acres,Total Dollars,Arson Dollars,Campfire Dollars,Debris Burning Dollars,Electrical Power Dollars,Equipment Usage Dollars,Lightning Dollars,Misc. Dollars,Play With Fire Dollars,Railroad Dollars,Smoking Dollars,Undetermined Dollars,Vehicle Dollars
Alameda,15,0,0,0,0,0,3,5,0,0,0,7,0,115,0,0,0,0,0,17,83,0,0,0,15,0,17100,0,0,0,0,0,1500,14000,0,0,0,1600,0
Amador,55,1,2,17,6,8,11,3,0,0,0,5,2,102,0,7,9,29,41,1,1,0,0,0,13,1,7200,0,0,200,6000,0,0,0,0,0,0,1000,0
Butte,114,6,0,15,13,0,19,4,7,0,2,29,19,311,20,0,11,75,0,2,106,5,0,1,41,50,436760,0,0,10050,700,0,300000,5500,10,0,0,60900,59600
Calaveras,161,16,1,38,11,31,20,6,5,0,0,30,3,569,20,0,36,174,204,21,4,3,0,0,97,10,166265,10177,0,3989,101861,29400,5571,605,277,0,0,13485,900
Colusa,8,0,0,0,1,0,0,0,0,0,0,7,0,4285,0,0,0,1,0,0,0,0,0,0,4284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa,21,2,0,0,2,0,1,4,0,0,0,10,2,145,2,0,0,32,0,0,4,0,0,0,6,101,17451,1,0,0,15000,0,2000,200,0,0,0,250,0
Del Norte,35,23,3,3,0,0,1,1,0,0,0,4,0,122,121,0,0,0,0,0,0,0,0,0,1,0,108305,100000,0,200,0,0,105,0,0,0,0,8000,0
El Dorado,169,6,1,41,18,17,32,13,3,0,7,20,11,297,8,0,48,24,9,128,23,0,0,1,7,49,157152,48000,0,4750,7000,0,78301,7000,0,0,0,2001,10100
Fresno,95,10,1,6,14,3,13,18,0,0,1,19,10,574,34,1,3,50,13,50,88,0,0,138,176,21,745291,900,0,0,18500,1320,8001,10350,0,0,4000,702020,200
Glenn,6,0,1,0,1,0,0,0,0,0,0,4,0,5,0,0,0,3,0,0,0,0,0,0,2,0,200,0,0,0,0,0,0,0,0,0,0,200,0
Humboldt,88,15,13,10,3,1,4,9,0,0,0,26,7,216,16,136,2,2,0,0,11,0,0,0,47,2,43000,0,500,0,0,0,0,16000,0,0,0,11500,15000
Inyo,19,1,3,2,0,1,2,0,0,0,1,8,1,21,1,5,3,0,0,3,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings,6,0,0,0,0,1,1,1,0,0,0,3,0,52,0,0,0,0,3,2,44,0,0,0,3,0,3600,0,0,0,0,500,0,3100,0,0,0,0,0
Lake,74,1,2,9,7,1,6,6,2,0,0,33,7,8355,0,0,16,9,10,8,317,1,0,0,7979,15,3274740,0,0,67000,20,0,0,2000020,0,0,0,1202700,5000
Lassen,25,0,0,3,2,13,3,0,1,0,0,2,1,298,0,0,25,0,7,258,0,0,0,0,8,0,422912,0,0,500,0,0,422380,0,0,0,0,2,30
Madera,72,6,3,13,1,0,11,4,1,0,1,25,7,188,15,0,5,7,0,8,49,0,0,0,88,16,9060,1450,0,0,500,0,0,500,0,0,0,6260,350
Mariposa,48,2,1,18,5,0,5,4,1,0,1,6,5,1750,0,6,16,10,0,4,1702,0,0,0,8,4,80202,0,0,0,2,0,0,80200,0,0,0,0,0
Mendocino,102,5,7,17,6,1,5,12,7,0,2,31,9,5333,16,4522,12,3,8,3,247,4,0,1,497,20,1271921,0,4618,500,300,0,1001,1260000,2,0,0,0,5500
Merced,15,0,0,0,0,1,2,1,0,0,0,9,2,456,0,0,0,0,3,1,434,0,0,0,16,2,4000,0,0,0,0,0,0,0,0,0,0,4000,0
Modoc,9,1,0,3,0,2,2,0,0,0,0,1,0,13,0,0,9,0,2,1,0,0,0,0,1,0,50,0,0,0,0,0,50,0,0,0,0,0,0
Monterey,75,5,5,8,8,2,11,18,2,0,1,6,9,2817,15,2,11,2649,3,92,33,2,0,0,4,6,444355,7600,0,3500,421836,0,4500,2402,500,0,0,0,4017
Napa,33,0,1,7,3,0,2,5,0,0,1,8,6,236,0,1,206,5,0,2,6,0,0,3,10,3,87603,0,0,6000,3000,0,0,13500,0,0,0,103,65000
Nevada,90,3,4,24,7,2,6,10,1,0,2,23,8,72,5,4,15,9,2,4,11,0,0,2,14,6,68830,0,0,20800,2080,0,3000,19200,0,0,0,50,23700
Placer,111,3,2,20,7,4,12,4,0,2,0,39,18,2724,2650,1,17,11,1,8,4,0,0,0,23,9,225355,110000,0,6500,0,0,2102,0,0,0,0,2551,104202
Plumas,8,0,1,3,0,0,0,0,1,0,0,3,0,101,0,0,1,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,5,0
Riverside,172,9,3,15,11,8,27,8,6,0,8,69,8,6256,54,2,16,919,2750,489,440,2,0,7,1570,7,1494451,0,0,150000,650250,250500,320000,11000,0,0,2001,105200,5500
Sacramento,12,0,0,0,3,0,2,0,0,0,1,6,0,89,0,0,0,50,0,3,0,0,0,14,22,0,260912,0,0,0,125012,0,135900,0,0,0,0,0,0
San Joaquin,13,2,0,1,4,0,1,0,0,0,0,2,3,131,11,0,1,71,0,0,3,0,0,0,42,3,17900,2200,0,200,14700,0,0,0,0,0,0,800,0
San Benito,21,1,0,4,2,2,4,3,0,0,0,1,4,55,1,0,5,9,1,36,2,0,0,0,1,0,1480,1000,0,0,0,0,480,0,0,0,0,0,0
San Bernardino,123,3,9,19,3,12,24,10,5,0,4,28,6,1466,1,111,5,1,91,6,7,2,0,3,1128,111,33300,0,0,250,0,0,1150,25500,0,0,0,6200,200
San Diego,162,7,3,15,16,12,27,9,1,0,0,65,7,35213,3,1,8,23,24851,1055,18,0,0,0,9211,43,1011115,0,0,0,2,2,100000,10700,0,0,0,900311,100
San Luis Obispo,136,0,4,8,9,2,51,14,2,1,1,32,12,1121,0,1,77,644,150,172,18,1,1,1,25,31,43800,0,0,0,6500,0,150,22000,0,0,0,650,14500
San Mateo,15,2,2,0,2,1,2,3,0,0,0,3,0,20,2,1,0,3,1,0,13,0,0,0,0,0,25102,0,20000,0,0,0,100,5002,0,0,0,0,0
Santa Clara,34,1,4,2,1,0,7,5,0,0,0,9,5,26,1,2,8,0,0,1,1,0,0,0,10,3,4302,0,0,3000,0,0,100,0,0,0,0,202,1000
Santa Cruz,43,0,5,9,1,1,10,7,3,0,0,5,2,122,0,3,110,1,0,2,2,2,0,0,1,1,69670,0,60,45000,1000,0,0,110,0,0,0,0,23500
Shasta,172,13,7,24,21,16,22,14,3,0,2,42,8,2136,12,72,36,235,180,374,1116,2,0,0,99,10,84700,0,500,1000,8900,100,0,60200,0,0,0,2500,11500
Sierra,1,0,0,0,0,0,0,0,0,0,0,1,0,592,2,4,458,1,6,4,0,100,0,0,16,1,11415,0,1000,4815,0,0,0,0,100,0,0,5500,0
Siskiyou,98,3,3,32,4,4,22,1,1,0,2,23,3,235,115,1,1,4,0,17,7,0,0,1,89,0,2512,400,1000,0,0,0,0,200,0,0,900,12,0
Solano,19,2,1,2,2,0,1,2,0,0,2,7,0,123,2,2,8,6,0,3,40,0,0,1,47,14,691886,3000,0,0,51,0,300,1900,0,0,0,101535,585100
Sonoma,128,3,7,17,11,0,25,19,1,0,1,33,11,1647,1641,0,0,3,0,0,0,0,0,0,3,0,16489420,200,20,20400,859300,15000000,540000,15000,0,0,0,42500,12000
Stanislaus,32,3,1,1,3,0,5,1,0,0,0,10,8,20227,252,0,18,535,0,6,0,0,0,0,19279,137,3879,0,0,250,604,0,600,0,0,0,0,2325,100
Tehama,80,3,1,9,15,2,16,5,1,0,0,25,3,28825,34,0,7,286,27678,164,105,5,0,0,203,343,13906,251,0,0,275,5,100,1050,0,0,0,12225,0
Trinity,22,1,2,5,1,0,1,5,0,0,0,5,2,20,5,0,5,0,0,0,3,0,0,0,6,1,5400,3500,0,0,0,0,0,0,0,0,0,200,1700
Tulare,38,7,1,2,3,1,3,6,0,0,0,11,4,1174,1,1,11,126,10,0,11,26,0,1,985,2,48893,0,0,900,802,3100,0,1701,4820,0,0,37370,200
Tuolumne,85,1,2,15,10,5,13,7,3,0,2,24,3,204,0,0,0,0,0,6,0,0,0,0,0,198,20600,0,0,0,0,0,600,0,0,0,0,0,20000
Yolo,15,2,0,1,3,0,0,1,1,0,0,6,1,117,0,0,10,4,0,51,13,1,1,0,13,24,287200,0,0,0,2100,0,0,35000,0,0,0,0,250100
Yuba,47,1,0,6,6,0,10,4,1,1,0,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
