name,german_name,area,population,grp
Baden-Württemberg,Baden-Württemberg,"35,751","10,879,618",460.687
Bavaria,Bayern,"70,550","12,843,514",549.19
Berlin,Berlin,892,"3,670,622",124.161
Brandenburg,Brandenburg,"29,654","2,484,826",65.294
Bremen,Bremen,419,"671,489",31.59
Hamburg,Hamburg,755,"1,787,408",109.271
Hesse,Hessen,"21,115","6,176,172",263.444
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,"23,212","1,612,362",39.869
Lower Saxony,Niedersachsen,"47,614","7,926,599",258.53
North Rhine-Westphalia,Nordrhein-Westfalen,"34,110","17,865,516",645.59
Rhineland-Palatinate,Rheinland-Pfalz,"19,854","4,052,803",131.951
Saarland,Saarland,"2,569","995,597",35.028
Saxony,Sachsen,"18,420","4,084,851",112.658
Saxony-Anhalt,Sachsen-Anhalt,"20,452","2,245,470",56.217
Schleswig-Holstein,Schleswig-Holstein,"15,800","2,858,714",85.61
Thuringia,Thüringen,"16,173","2,170,714",56.811
